Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Albania,0.916,0.817,0.79,0.419,0.149,0.032
Armenia,0.816,0.99,0.666,0.26,0.077,0.028
Austria,1.341,1.504,0.891,0.617,0.242,0.224
Azerbaijan,1.024,1.161,0.603,0.43,0.031,0.176
Belarus,1.039,1.498,0.7,0.307,0.101,0.154
Belgium,1.324,1.483,0.894,0.583,0.188,0.24
Bosnia and Herzegovina,0.915,1.078,0.758,0.28,0.216,0
Bulgaria,1.054,1.515,0.712,0.359,0.064,0.009
Croatia,1.115,1.161,0.737,0.38,0.12,0.039
Cyprus,1.229,1.191,0.909,0.423,0.202,0.035
Czech Republic,1.233,1.489,0.854,0.543,0.064,0.034
Denmark,1.351,1.59,0.868,0.683,0.284,0.408
Estonia,1.2,1.532,0.737,0.553,0.086,0.174
Finland,1.305,1.592,0.874,0.681,0.202,0.393
France,1.293,1.466,0.908,0.52,0.098,0.176
Georgia,0.853,0.592,0.643,0.375,0.038,0.215
Germany,1.34,1.474,0.861,0.586,0.273,0.28
Greece,1.154,1.202,0.879,0.131,0,0.044
Hungary,1.171,1.401,0.732,0.259,0.061,0.022
Iceland,1.343,1.644,0.914,0.677,0.353,0.138
Ireland,1.448,1.583,0.876,0.614,0.307,0.306
Italy,1.264,1.501,0.946,0.281,0.137,0.028
Kazakhstan,1.143,1.516,0.631,0.454,0.148,0.121
Kosovo,0.855,1.23,0.578,0.448,0.274,0.023
Kyrgyzstan,0.53,1.416,0.594,0.54,0.281,0.035
Latvia,1.148,1.454,0.671,0.363,0.092,0.066
Lithuania,1.197,1.527,0.716,0.35,0.026,0.006
Luxembourg,1.576,1.52,0.896,0.632,0.196,0.321
Macedonia,0.959,1.239,0.691,0.394,0.173,0.052
Malta,1.27,1.525,0.884,0.645,0.376,0.142
Moldova,0.657,1.301,0.62,0.232,0.171,0
Montenegro,1.017,1.279,0.729,0.259,0.111,0.081
Netherlands,1.361,1.488,0.878,0.638,0.333,0.295
Northern Cyprus,1.229,1.211,0.909,0.495,0.179,0.154
Norway,1.456,1.582,0.861,0.686,0.286,0.34
Poland,1.176,1.448,0.781,0.546,0.108,0.064
Portugal,1.188,1.429,0.884,0.562,0.055,0.017
Romania,1.116,1.219,0.726,0.528,0.088,0.001
Russia,1.151,1.479,0.599,0.399,0.065,0.025
Serbia,0.975,1.369,0.685,0.288,0.134,0.043
Slovakia,1.21,1.537,0.776,0.354,0.118,0.014
Slovenia,1.219,1.506,0.856,0.633,0.16,0.051
Spain,1.251,1.538,0.965,0.449,0.142,0.074
Sweden,1.355,1.501,0.913,0.659,0.285,0.383
Switzerland,1.42,1.549,0.927,0.66,0.256,0.357
Tajikistan,0.474,1.166,0.598,0.292,0.187,0.034
Turkmenistan,1.016,1.533,0.517,0.417,0.199,0.037
Ukraine,0.793,1.413,0.609,0.163,0.187,0.011
United Kingdom,1.244,1.433,0.888,0.464,0.262,0.082
Uzbekistan,0.719,1.584,0.605,0.724,0.328,0.259
